"link","name","topic","difficulty","popularity","comment","status","solution","concept_covered","created_at","updated_at"
"https://leetcode.com/problems/button-with-longest-push-time/","Button with Longest Push Time","ARRAY","EASY",90976,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/calculate-amount-paid-in-taxes/","Calculate Amount Paid in Taxes","ARRAY","EASY",85295,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day/","Can You Eat Your Favorite Candy on Your Favorite Day?","ARRAY","MEDIUM",39694,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/","Cells with Odd Values in a Matrix","ARRAY","EASY",184139,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/","Check if a String Is an Acronym of Words","ARRAY","EASY",160416,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/","Check If All 1's Are at Least Length K Places Away","ARRAY","EASY",339060,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/","Check if Array Is Sorted and Rotated","ARRAY","EASY",1798310,"// IMPORTANT: Array is circular, so also check LAST -> FIRST.
        // Example: [2,1,3,4] has 1 internal decrease (2->1)
        // but also a circular decrease (4->2), making it invalid.","SUCCESS","class Solution {
public:
    bool check(vector<int>& nums) {
        int n = nums.size();

        // Edge case: n < 3 is always valid
        if (n < 3) {
            return true;
        }

        int dec = 0;

        for (int i = 1; i < n; i++) {
            if (nums[i] < nums[i - 1]) {
                dec++;
            }
        }

        // IMPORTANT: Array is circular, so also check LAST -> FIRST.
        // Example: [2,1,3,4] has 1 internal decrease (2->1)
        // but also a circular decrease (4->2), making it invalid.
        if (nums[n - 1] > nums[0]) {
            dec++;
        }

        // Sorted + rotated array can have at most ONE decrease.
        return dec < 2;
    }
};",true,2026-07-21T18:50:04.000Z,2026-09-03T21:55:34.491Z
"https://leetcode.com/problems/check-if-it-is-a-good-array/","Check If It Is a Good Array","ARRAY","HARD",67999,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/check-if-it-is-a-straight-line/","Check If It Is a Straight Line","ARRAY","EASY",777936,,"SUCCESS","class Solution {
public:
    bool checkStraightLine(vector<vector<int>>& coordinates) {
        int n = coordinates.size();
        if (n < 3) {
            return true;
        }

        for (int i = 2; i < n; i++) {
            int x1 = coordinates[i - 2][0];
            int x2 = coordinates[i - 1][0];
            int x3 = coordinates[i][0];
            int y1 = coordinates[i - 2][1];
            int y2 = coordinates[i - 1][1];
            int y3 = coordinates[i][1];

            if ((x1 - x2) * (y2 - y3) != (x2 - x3) * (y1 - y2)) {
                return false;
            }
        }
        return true;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/","Check If Two String Arrays are Equivalent","ARRAY","EASY",729195,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/collecting-chocolates/","Collecting Chocolates","ARRAY","MEDIUM",44628,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/color-the-triangle-red/","Color the Triangle Red","ARRAY","HARD",835,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/compare-sums-of-bitonic-parts/","Compare Sums of Bitonic Parts","ARRAY","MEDIUM",48454,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/compute-alternating-sum/","Compute Alternating Sum","ARRAY","EASY",92784,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/compute-decimal-representation/","Compute Decimal Representation","ARRAY","EASY",97325,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/concatenate-array-with-reverse/","Concatenate Array With Reverse","ARRAY","EASY",67793,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii/","Concatenate Non-Zero Digits and Multiply by Sum II","ARRAY","MEDIUM",219970,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/concatenation-of-array/","Concatenation of Array","ARRAY","EASY",1743392,,"SUCCESS","class Solution {
public:
    vector<int> getConcatenation(vector<int>& nums) {
        int n = nums.size();
        vector<int> ans(2 * n, 0);
        int i = 0;
        for (auto it : nums) {
            ans[i + n] = it;
            ans[i++] = it;
        }
        return ans;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/construct-uniform-parity-array-i/","Construct Uniform Parity Array I","ARRAY","EASY",72591,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/construct-uniform-parity-array-ii/","Construct Uniform Parity Array II","ARRAY","MEDIUM",76583,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/convex-polygon/","Convex Polygon","ARRAY","MEDIUM",29153,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/coordinate-with-maximum-network-quality/","Coordinate With Maximum Network Quality","ARRAY","MEDIUM",30276,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/corporate-flight-bookings/","Corporate Flight Bookings","ARRAY","MEDIUM",169703,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-alternating-subarrays/","Count Alternating Subarrays","ARRAY","MEDIUM",80763,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-digit-appearances/","Count Digit Appearances","ARRAY","MEDIUM",57208,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-dominant-indices/","Count Dominant Indices","ARRAY","EASY",88850,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/","Count Equal and Divisible Pairs in an Array","ARRAY","EASY",287419,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-good-triplets/","Count Good Triplets","ARRAY","EASY",343087,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-hills-and-valleys-in-an-array/","Count Hills and Valleys in an Array","ARRAY","EASY",268233,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-houses-in-a-circular-street/","Count Houses in a Circular Street","ARRAY","EASY",4025,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-indices-with-opposite-parity/","Count Indices With Opposite Parity","ARRAY","EASY",51597,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-items-matching-a-rule/","Count Items Matching a Rule","ARRAY","EASY",342341,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-partitions-with-even-sum-difference/","Count Partitions with Even Sum Difference","ARRAY","EASY",209838,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-positions-on-street-with-required-brightness/","Count Positions on Street With Required Brightness","ARRAY","MEDIUM",8375,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-prefixes-of-a-given-string/","Count Prefixes of a Given String","ARRAY","EASY",124923,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-primes/","Count Primes","ARRAY","MEDIUM",3640144,,"TLE","class Solution {
public:
    int countPrimes(int n) {
        if(n < 3){
            return 0;
        }
        vector<int> primes(1,2);
        
        int i = 3;
        while(i < n){
            bool prime = true;
            for(auto f: primes){
                if(i%f == 0){
                    prime = false;
                    break;
                }
            }
            if(prime){
                primes.push_back(i);
            }
            i++;
        }

        return primes.size();
    }
};",true,2026-07-21T18:50:04.000Z,2026-09-01T21:44:14.286Z
"https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/","Count Subarrays of Length Three With a Condition","ARRAY","EASY",249675,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-tested-devices-after-test-operations/","Count Tested Devices After Test Operations","ARRAY","EASY",73032,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-the-hidden-sequences/","Count the Hidden Sequences","ARRAY","MEDIUM",219270,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/","Count the Number of Computer Unlocking Permutations","ARRAY","MEDIUM",161266,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-the-number-of-infection-sequences/","Count the Number of Infection Sequences","ARRAY","HARD",17736,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range/","Count the Number of Vowel Strings in Range","ARRAY","EASY",124765,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-unhappy-friends/","Count Unhappy Friends","ARRAY","MEDIUM",56831,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/count-vowel-strings-in-ranges/","Count Vowel Strings in Ranges","ARRAY","MEDIUM",304598,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/counting-words-with-a-given-prefix/","Counting Words With a Given Prefix","ARRAY","EASY",367872,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/create-target-array-in-the-given-order/","Create Target Array in the Given Order","ARRAY","EASY",373985,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/decompress-run-length-encoded-list/","Decompress Run-Length Encoded List","ARRAY","EASY",361733,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/delete-columns-to-make-sorted/","Delete Columns to Make Sorted","ARRAY","EASY",418296,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/design-compressed-string-iterator/","Design Compressed String Iterator","ARRAY","EASY",99289,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/","Detect Pattern of Length M Repeated K or More Times","ARRAY","EASY",108321,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/determine-if-two-events-have-conflict/","Determine if Two Events Have Conflict","ARRAY","EASY",125694,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/determine-the-winner-of-a-bowling-game/","Determine the Winner of a Bowling Game","ARRAY","EASY",122681,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/difference-between-element-sum-and-digit-sum-of-an-array/","Difference Between Element Sum and Digit Sum of an Array","ARRAY","EASY",256233,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/distance-between-bus-stops/","Distance Between Bus Stops","ARRAY","EASY",147071,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/distribute-elements-into-two-arrays-i/","Distribute Elements Into Two Arrays I","ARRAY","EASY",82020,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/divide-array-into-increasing-sequences/","Divide Array Into Increasing Sequences","ARRAY","HARD",11254,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/double-modular-exponentiation/","Double Modular Exponentiation","ARRAY","MEDIUM",54190,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/earliest-time-to-finish-one-task/","Earliest Time to Finish One Task","ARRAY","EASY",88306,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/","Element Appearing More Than 25% In Sorted Array","ARRAY","EASY",429836,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/elements-in-array-after-removing-and-replacing-elements/","Elements in Array After Removing and Replacing Elements","ARRAY","MEDIUM",3562,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/encode-and-decode-strings/","Encode and Decode Strings","ARRAY","MEDIUM",605988,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/equal-score-substrings/","Equal Score Substrings","ARRAY","EASY",68477,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/erect-the-fence/","Erect the Fence","ARRAY","HARD",129275,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/erect-the-fence-ii/","Erect the Fence II","ARRAY","HARD",1999,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/escape-the-ghosts/","Escape The Ghosts","ARRAY","MEDIUM",62929,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/final-element-after-subarray-deletions/","Final Element After Subarray Deletions","ARRAY","MEDIUM",80868,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/final-value-of-variable-after-performing-operations/","Final Value of Variable After Performing Operations","ARRAY","EASY",747203,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-closest-number-to-zero/","Find Closest Number to Zero","ARRAY","EASY",456609,,"SUCCESS","class Solution {
public:
    int findClosestNumber(vector<int>& nums) {
        int ans = -100001;
        for (auto num : nums) {
            if ((abs(ans) > abs(num)) || (abs(ans) == abs(num) && ans < num)) {
                ans = num;
            }
        }
        return ans;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-greatest-common-divisor-of-array/","Find Greatest Common Divisor of Array","ARRAY","EASY",476525,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-if-digit-game-can-be-won/","Find if Digit Game Can Be Won","ARRAY","EASY",148653,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-indices-of-stable-mountains/","Find Indices of Stable Mountains","ARRAY","EASY",84530,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/","Find Minimum Operations to Make All Elements Divisible by Three","ARRAY","EASY",310204,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-missing-observations/","Find Missing Observations","ARRAY","MEDIUM",306440,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/","Find N Unique Integers Sum up to Zero","ARRAY","EASY",516239,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate/","Find Nearest Point That Has the Same X or Y Coordinate","ARRAY","EASY",193341,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-numbers-with-even-number-of-digits/","Find Numbers with Even Number of Digits","ARRAY","EASY",1408361,,"SUCCESS","class Solution {
public:
    int findNumbers(vector<int>& nums) {
        int ans = 0;
        for (auto num : nums) {
            if (num > 9 && num < 100) {
                ans++;
            } else if (num > 999 && num < 10000) {
                ans++;
            } else if (num > 99999 && num < 1000000) {
                ans++;
            }
        }
        return ans;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-palindrome-with-fixed-length/","Find Palindrome With Fixed Length","ARRAY","MEDIUM",74563,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-pivot-index/","Find Pivot Index","ARRAY","EASY",2785464,,"SUCCESS","class Solution {
public:
    int pivotIndex(vector<int>& nums) {
        int sumr = 0;
        int suml = 0;
        for(auto it:nums){
            sumr+=it;
        }
        int n = nums.size();
        for(int i=0; i<n; i++){
            sumr-=nums[i];
            if(sumr == suml){
                return i;
            }
            suml+=nums[i];
        }
        return -1;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/","Find the Count of Numbers Which Are Not Special","ARRAY","MEDIUM",140436,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-divisibility-array-of-a-string/","Find the Divisibility Array of a String","ARRAY","MEDIUM",112992,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/","Find The First Player to win K Games in a Row","ARRAY","MEDIUM",92278,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-highest-altitude/","Find the Highest Altitude","ARRAY","EASY",1065339,,"SUCCESS","class Solution {
public:
    int largestAltitude(vector<int>& gain) {
        int ans = 0, h = 0;a
        for (auto g : gain) {
            h += g;
            ans = max(ans, h);
        }a
        return ans;
        a
    }
};",true,2026-07-21T18:50:04.000Z,2026-09-01T21:14:18.374Z
"https://leetcode.com/problems/find-the-integer-added-to-array-i/","Find the Integer Added to Array I","ARRAY","EASY",104122,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles/","Find the Largest Area of Square Inside Two Rectangles","ARRAY","MEDIUM",153027,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-maximum-divisibility-score/","Find the Maximum Divisibility Score","ARRAY","EASY",84245,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-maximum-factor-score-of-array/","Find the Maximum Factor Score of Array","ARRAY","MEDIUM",59848,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-middle-index-in-array/","Find the Middle Index in Array","ARRAY","EASY",257802,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/","Find the Minimum Amount of Time to Brew Potions","ARRAY","MEDIUM",139751,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-n-th-value-after-k-seconds/","Find the N-th Value After K Seconds","ARRAY","MEDIUM",87989,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-number-of-copy-arrays/","Find the Number of Copy Arrays","ARRAY","MEDIUM",46114,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-peaks/","Find the Peaks","ARRAY","EASY",113130,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-pivot-integer/","Find the Pivot Integer","ARRAY","EASY",387194,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-score-difference-in-a-game/","Find the Score Difference in a Game","ARRAY","MEDIUM",73851,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-score-of-all-prefixes-of-an-array/","Find the Score of All Prefixes of an Array","ARRAY","MEDIUM",63820,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-smallest-balanced-index/","Find the Smallest Balanced Index","ARRAY","MEDIUM",196991,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-sum-of-encrypted-integers/","Find the Sum of Encrypted Integers","ARRAY","EASY",86515,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-the-winner-of-an-array-game/","Find the Winner of an Array Game","ARRAY","MEDIUM",225762,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-triangular-sum-of-an-array/","Find Triangular Sum of an Array","ARRAY","MEDIUM",298388,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/find-words-containing-character/","Find Words Containing Character","ARRAY","EASY",456051,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/four-divisors/","Four Divisors","ARRAY","MEDIUM",356353,,"SUCCESS","class Solution {
public:
    int sumFourDivisors(vector<int>& nums) {
        unordered_map<int, int> freq;
        unordered_map<int, int> sums;
        for (auto it : nums) {
            freq[it]++;
            if (!sums.contains(it)) {
                int i = 2;
                int j = floor(abs(sqrt(it)));

                unordered_set<int> divisors;
                while (i <= j) {
                    if (it % i == 0) {
                        divisors.insert(i);
                        divisors.insert(it / i);
                    }
                    i++;
                }
                sums[it] = 0;
                if (divisors.size() == 2) {
                    sums[it] = 1 + it;
                    for (auto dt : divisors) {
                        sums[it] += dt;
                    }
                }
            }
        }
        int ans = 0;
        for (auto it : sums) {
            int sum = it.second;
            if (sum > 0) {
                ans += freq[it.first] * sum;
            }
        }
        return ans;
    }
};",true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/get-maximum-in-generated-array/","Get Maximum in Generated Array","ARRAY","EASY",245906,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/global-and-local-inversions/","Global and Local Inversions","ARRAY","MEDIUM",203631,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/graph-connectivity-with-threshold/","Graph Connectivity With Threshold","ARRAY","HARD",49542,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
